CustomerID,NetPromoterScore,SatisfactionSurveyScore,CustomerLoyaltyProgram,RewardPointsBalance,AutoRenewalEnabled,PaymentMethod,PaymentFailures,CustomerSupportTickets,IssueResolutionTime,ComplaintSeverity,RefundRequests,MobileAppUsage,WebPortalUsage,AvgSessionDuration,DeviceType,CompetitorWebsiteVisits,ChurnedFriends,MarketSentimentScore,RowNumber,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15671137.0,190.0,6.0,Yes,180.0,False,PayPal,1.0,10.0,46.0,High,0.0,140.0,29.0,60.0,Tablet,00,3.0,Positive,127.0,MacDonald,549.0,France,Female,52.0,1.0,0.0,1.0,0.0,1.0,863605.0,0.0
15655774.0,190.0,6.0,Yes,180.0,True,PayPal,3.0,40.0,3.0,Low,1.0,100.0,23.0,54.0,Desktop,40,5.0,Neutral,293.0,Booth,583.0,France,Male,27.0,7.0,0.0,2.0,1.0,0.0,5128549.0,0.0
15802741.0,190.0,6.0,Yes,180.0,False,Bank Transfer,5.0,20.0,50.0,High,3.0,50.0,11.0,24.0,Mobile,60,1.0,Negative,689.0,Mitchel,625.0,France,Female,51.0,7.0,13629497.0,1.0,1.0,0.0,3886746.0,0.0
15618182.0,190.0,6.0,Yes,180.0,True,Credit Card,3.0,30.0,18.0,Low,1.0,300.0,27.0,38.0,Mobile,50,3.0,Negative,1107.0,Ndubueze,678.0,France,Female,38.0,2.0,0.0,2.0,0.0,0.0,11506899.0,0.0
15722993.0,190.0,6.0,Yes,180.0,False,PayPal,2.0,40.0,55.0,Low,0.0,340.0,2.0,17.0,Tablet,30,5.0,Neutral,1151.0,Page,700.0,France,Female,27.0,6.0,13796307.0,1.0,0.0,0.0,899679.0,0.0
15783955.0,190.0,6.0,Yes,180.0,True,Bank Transfer,1.0,40.0,12.0,Low,1.0,220.0,16.0,47.0,Tablet,30,5.0,Neutral,1623.0,Miah,697.0,France,Female,25.0,4.0,16568611.0,2.0,1.0,0.0,1546798.0,0.0
15604588.0,190.0,6.0,Yes,180.0,True,Bank Transfer,4.0,40.0,12.0,Low,1.0,370.0,6.0,43.0,Desktop,70,5.0,Positive,1897.0,Li Fonti,850.0,Spain,Female,38.0,3.0,0.0,2.0,0.0,1.0,17936076.0,0.0
15621210.0,190.0,6.0,Yes,180.0,True,Credit Card,5.0,10.0,66.0,Medium,0.0,430.0,18.0,28.0,Mobile,00,3.0,Negative,2310.0,Angelo,599.0,Germany,Male,46.0,9.0,12344472.0,1.0,1.0,1.0,3136808.0,0.0
15663885.0,190.0,6.0,Yes,180.0,False,PayPal,0.0,30.0,37.0,Low,1.0,330.0,4.0,41.0,Mobile,30,4.0,Negative,2589.0,Blinova,741.0,France,Male,32.0,5.0,0.0,1.0,1.0,1.0,6483923.0,0.0
15622494.0,190.0,6.0,Yes,180.0,False,Credit Card,5.0,20.0,45.0,Low,0.0,240.0,22.0,38.0,Desktop,90,2.0,Negative,2705.0,Mazzanti,718.0,France,Male,27.0,2.0,0.0,2.0,0.0,0.0,2622924.0,0.0
15753102.0,190.0,6.0,Yes,180.0,True,PayPal,3.0,0.0,48.0,High,0.0,150.0,3.0,46.0,Mobile,40,5.0,Neutral,3148.0,Curtis,752.0,Spain,Male,44.0,6.0,8387033.0,1.0,1.0,0.0,17872224.0,0.0
15637178.0,190.0,6.0,Yes,180.0,False,Bank Transfer,1.0,50.0,31.0,Low,1.0,60.0,22.0,16.0,Mobile,40,4.0,Negative,3380.0,Mishina,803.0,Spain,Female,45.0,7.0,0.0,2.0,1.0,1.0,12837804.0,0.0
