RowNumber,CustomerID,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,NetPromoterScore,SatisfactionSurveyScore,CustomerLoyaltyProgram,RewardPointsBalance,AutoRenewalEnabled,PaymentMethod,PaymentFailures,CustomerSupportTickets,IssueResolutionTime,ComplaintSeverity,RefundRequests,MobileAppUsage,WebPortalUsage,AvgSessionDuration,DeviceType,CompetitorWebsiteVisits,ChurnedFriends,MarketSentimentScore
2,15647311,Hill,-0.4435373042121411,2,0,41,-1.3852410302165337,0.11939113395474348,-0.91227458746453,0,1,0.2155228893604842,0,-77.0,10,1,-1.3202263895015398,0,3,1.4810801837362864,0.31205618846761196,1.2553099178864706,2,-1.345100700865402,-0.07456436207178094,-1.2245878028204018,-0.31159639602183525,1,0.9494243912060681,-1.542214638335124,2
3,15619304,Onio,-1.5455487600732543,0,0,42,1.0345146229121955,1.333956994023416,2.5390417919927644,1,0,0.23969723942707483,1,47.0,9,0,0.5741381795074687,1,1,1.4810801837362864,-0.3245260436036968,-1.5641589159374818,2,0.4106973870267188,-0.14476418931897087,-1.2245878028204018,-0.11724177972803049,1,1.2584177812164694,0.24096877725358196,2
5,15737888,Mitchell,2.072375642187759,2,0,43,-1.0395616511981438,0.7871436492799169,-0.91227458746453,1,1,-0.3667973636406307,0,-68.0,10,0,1.3090837165237679,0,0,-0.26507043739719427,0.31205618846761196,0.5862834149451938,1,1.288596430972779,-0.004364534824591009,1.1805399871090307,0.6601766854471884,1,-0.5955425588459381,-0.35342569460932,0
6,15574012,Chu,-0.05887292810967708,2,1,44,1.0345146229121955,0.5989206184027793,0.8133836022641172,1,0,0.8632074702743924,1,89.0,9,1,-0.5083558599262504,1,1,0.8990299766917927,-1.5976905077463144,-0.1783183027019798,1,-1.345100700865402,0.8380333921416881,-0.0792888552349578,1.3080254064265375,3,-0.5955425588459381,0.24096877725358196,2
7,15592531,Bartlett,1.7812782764885968,0,1,50,0.6888352438938058,-1.222549805465863,0.8133836022641172,1,1,-1.5680623606896855,0,-26.0,3,0,1.7449920076913794,0,0,0.8990299766917927,-1.5976905077463144,1.446460347298264,2,0.4106973870267188,-1.6891603887571494,0.149770934282131,0.7897464296430583,0,0.6404310011956669,-1.542214638335124,0
8,15656148,Obinna,-2.8554869057194834,1,0,29,-0.34820289316136394,0.6195916160294273,4.264699981721412,1,0,0.3339467298187324,1,8.0,4,1,1.1493430788224412,0,1,0.31697976964729924,0.9486384205389207,0.9207966664158322,2,-1.345100700865402,0.34663460141135866,0.49336061855776425,-0.8946602449032495,1,1.2584177812164694,0.24096877725358196,1
9,15792365,He,-1.5559450945625102,0,1,44,-0.34820289316136394,1.051988004251535,0.8133836022641172,0,1,-0.4389136761669446,0,-43.0,8,1,1.5162960838673543,1,1,1.4810801837362864,-0.9611082756750056,-0.75176959093736,1,1.288596430972779,1.6804313191079674,-1.2245878028204018,0.7249615575451234,3,0.9494243912060681,-1.542214638335124,2
10,15592389,H?,0.34658411697129854,0,1,27,-1.0395616511981438,0.9327427551228288,-0.91227458746453,1,1,-0.49486438521709863,0,-49.0,8,1,0.4227137572179248,1,3,-0.26507043739719427,0.31205618846761196,-0.9907076277021017,2,0.4106973870267188,-0.9871621162852501,-0.5374084342691354,0.5306069412513187,3,0.02244422117486435,1.429757720979386,2
11,15767821,Bearce,-1.2752440633526039,0,1,31,0.34315586487541583,0.4109534610942064,0.8133836022641172,0,0,-0.3477045368311858,0,-64.0,8,1,-0.7613074120346419,0,1,-0.8471206444416878,-1.5976905077463144,-0.5606191615255666,1,0.4106973870267188,-0.07456436207178094,1.7531894609017526,1.048885918034798,0,0.02244422117486435,0.24096877725358196,2
12,15737173,Andrews,-1.5975304325195332,2,1,24,-0.6938822721797538,-1.222549805465863,0.8133836022641172,1,0,-0.41368601998149795,0,47.0,1,0,-1.398883926937985,1,3,-1.4291708514861814,-0.3245260436036968,0.9207966664158322,1,1.288596430972779,0.5572340831529284,-0.3083486447520466,-1.0242299890991193,1,-1.2135293388667407,1.429757720979386,0
